"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FC","2022-10-05","81.4","0.78","6.14","Valdez, Framber",596117,664285,"strikeout","swinging_strike_blocked",,,,,13,"Garrett Stubbs strikes out swinging, catcher Martin Maldonado to first baseman Trey Mancini.","R","L","L","HOU","PHI","S",2,,1,2,2022,"-0.52","-1.07","-0.53","0.28",,,663837,2,5,"Top",,,,,455117,,,-1.9335521029815974,-118.50332182521385,-4.399078083182403,-4.447797910965678,24.890411649261747,-41.531522284655324,"2.82","1.26",,,,"80.6",2867,"5.9",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.58",,,"0",1,0,0,,34,4,"Cutter",2,0,0,2,0,2,0,2,"Infield shift","Standard",318,"0.028","-0.158"
"FC","2022-10-05","82.6","0.87","6.1","Valdez, Framber",596117,664285,,"swinging_strike",,,,,13,"Garrett Stubbs strikes out swinging, catcher Martin Maldonado to first baseman Trey Mancini.","R","L","L","HOU","PHI","S",,,1,1,2022,"-0.35","-0.66","-1.55","0.87",,,663837,2,5,"Top",,,,,455117,,,-4.79799364547524,-120.25592694329853,-4.127332238602448,-2.468899540344548,23.743389009538028,-37.919540092404326,"2.82","1.26",,,,"82.1",2719,"6",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.54",,,,,,,,34,3,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",315,"0","-0.051"
"SI","2022-10-05","94","0.88","6.26","Valdez, Framber",596117,664285,,"swinging_strike",,,,,14,"Garrett Stubbs strikes out swinging, catcher Martin Maldonado to first baseman Trey Mancini.","R","L","L","HOU","PHI","S",,,1,0,2022,"1.5","0.72","0.83","1.32",,,663837,2,5,"Top",,,,,455117,,,-3.423961782096795,-136.6432207396534,-8.521973436016374,19.517278225658266,33.25165113612694,-21.431214990679884,"2.82","1.26",,,,"92.8",2247,"5.9",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.62",,,,,,,,34,2,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",142,"0","-0.041"
"SI","2022-10-05","94.1","0.78","6.26","Valdez, Framber",596117,664285,,"ball",,,,,12,"Garrett Stubbs strikes out swinging, catcher Martin Maldonado to first baseman Trey Mancini.","R","L","L","HOU","PHI","B",,,0,0,2022,"1.29","0.8","0.82","3.67",,,663837,2,5,"Top",,,,,455117,,,-2.7255251595337513,-136.91897350961673,-2.7399032410403024,16.795481899252543,32.26422510030992,-21.717056028577314,"2.87","1.32",,,,"93.1",2219,"5.8",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.68",,,,,,,,34,1,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",151,"0","0.032"
"FC","2022-10-05","80.8","1.07","6.15","Valdez, Framber",665155,664285,"field_out","hit_into_play",,,,,6,"Nick Maton pops out to catcher Martin Maldonado in foul territory.","R","L","L","HOU","PHI","X",2,"popup",0,0,2022,"-0.21","-0.57","0.53","2.62",,,663837,1,5,"Top",116.69,207.08,,,455117,,,-0.7952371216719117,-117.64924746942991,-0.15250993760331277,-1.764754963383204,22.226431970880174,-37.656906703880146,"3.15","1.52",41,"69",81,"80.6",2559,"6.1",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.41",0.006,0.005,"0",1,0,0,3,33,1,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",307,"0.036","-0.3"
"SI","2022-10-05","93","0.86","6.26","Valdez, Framber",656495,664285,"strikeout","swinging_strike",,,,,7,"Dalton Guthrie strikes out swinging.","R","R","L","HOU","PHI","S",2,,3,2,2022,"1.42","0.59","-0.31","1.73",,,663837,0,5,"Top",,,,,455117,,,-6.049846986225592,-135.10717962998325,-7.022148647240041,18.70558850293672,32.43018030389816,-23.498854428078218,"3.12","1.38",,,,"91.7",2130,"5.9",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.64",,,"0",1,0,0,,32,7,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",145,"0.044","-0.482"
"SI","2022-10-05","93.6","0.92","6.26","Valdez, Framber",656495,664285,,"foul",,,,,7,"Dalton Guthrie strikes out swinging.","R","R","L","HOU","PHI","S",,,3,2,2022,"1.11","0.69","-0.7","1.28",,,663837,0,5,"Top",,,,,455117,,,-6.577995671409208,-135.97179110881743,-8.517460087853866,15.265987745220626,31.283964745002997,-21.893507030108907,"3.12","1.38",,,,"92.7",2112,"5.9",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.57",,,,,,,,32,6,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",147,"0","0"
"SI","2022-10-05","91.5","0.92","6.25","Valdez, Framber",656495,664285,,"swinging_strike",,,,,13,"Dalton Guthrie strikes out swinging.","R","R","L","HOU","PHI","S",,,3,1,2022,"0.88","0.74","-0.84","2.13",,,663837,0,5,"Top",,,,,455117,,,-6.296140918192129,-132.94949137145974,-6.0554347549255825,11.806149308956195,30.47574998129039,-22.240163930192242,"3.12","1.38",,,,"90.8",2079,"6.1",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.41",,,,,,,,32,5,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",147,"0","-0.127"
"SI","2022-10-05","92.9","0.72","6.26","Valdez, Framber",656495,664285,,"ball",,,,,13,"Dalton Guthrie strikes out swinging.","R","R","L","HOU","PHI","B",,,2,1,2022,"1.11","0.65","-1.58","1.96",,,663837,0,5,"Top",,,,,455117,,,-8.236741593261646,-134.9203133963189,-6.533334468186849,15.399368504229999,31.040927957145634,-22.968012127334152,"3.17","1.46",,,,"91.8",2118,"5.8",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.66",,,,,,,,32,4,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",145,"0","0.174"
"SI","2022-10-05","92.1","0.94","6.22","Valdez, Framber",656495,664285,,"called_strike",,,,,7,"Dalton Guthrie strikes out swinging.","R","R","L","HOU","PHI","S",,,2,0,2022,"1.35","0.54","-0.42","1.25",,,663837,0,5,"Top",,,,,455117,,,-6.333928785328678,-133.68013045183613,-7.814386863512592,17.517676101792883,31.514500760130822,-24.142164936011486,"3.11","1.34",,,,"91.1",2108,"6",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.46",,,,,,,,32,3,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",138,"0","-0.086"
"SI","2022-10-05","92.7","0.72","6.3","Valdez, Framber",656495,664285,,"ball",,,,,13,"Dalton Guthrie strikes out swinging.","R","R","L","HOU","PHI","B",,,1,0,2022,"1.27","0.85","-1.17","2.26",,,663837,0,5,"Top",,,,,455117,,,-7.532571663845539,-134.71019195169075,-6.287081644541742,17.1107389297202,31.044692851686268,-20.608241473178172,"3.12","1.4",,,,"91.8",2153,"5.9",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.56",,,,,,,,32,2,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",140,"0","0.108"
"SI","2022-10-05","92.2","1.12","6.29","Valdez, Framber",663837,664285,"single","hit_into_play",,,,,5,"Matt Vierling singles on a sharp line drive to center fielder Jake Meyers.","R","R","L","HOU","PHI","X",8,"line_drive",0,0,2022,"1.22","0.8","0.19","2.4",,,,0,5,"Top",132.01,82.46,,,455117,,,-4.960244711141162,-133.99505224518592,-5.666755408108895,15.732023297986133,31.35837950974118,-21.504002167607847,"3.39","1.64",205,"102.5",9,"91",2213,"5.8",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.7",0.743,0.7,"0.9",1,1,0,4,31,1,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",150,"-0.049","0.395"
"SI","2022-10-05","94.6","0.73","6.34","Valdez, Framber",516416,664285,"field_out","hit_into_play",,,,,5,"Jean Segura grounds out, shortstop Mauricio Dubon to first baseman Trey Mancini.","R","R","L","HOU","PHI","X",6,"ground_ball",1,2,2022,"1.24","0.45","0.19","2.23",,,,2,4,"Top",108.57,138.79,,,455117,,,-4.11814967230178,-137.54990683734545,-5.953352342698434,16.664131162667218,32.76401769686796,-25.24999324860064,"2.95","1.41",3,"94",-39,"93.5",2151,"5.8",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.67",0.086,0.077,"0",1,0,0,2,27,4,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",150,"0.011","-0.07"
"SI","2022-10-05","92.1","0.87","6.31","Valdez, Framber",592206,664285,"field_out","hit_into_play",,,,,2,"Nick Castellanos flies out sharply to center fielder Jake Meyers.","R","R","L","HOU","PHI","X",8,"fly_ball",3,1,2022,"1.19","0.51","0.22","3.63",,,,1,4,"Top",156.59,38.54,,,455117,,,-4.19223967961495,-134.0347477026952,-2.0433377588648876,15.199182512255163,30.566972448763938,-25.8219021428157,"3.66","1.78",402,"102.4",22,"91.4",2014,"6",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.53",0.571,0.8,"0",1,0,0,6,26,5,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",146,"0.018","-0.256"
"SI","2022-10-05","94.5","0.6","6.31","Valdez, Framber",592206,664285,,"ball",,,,,13,"Nick Castellanos flies out sharply to center fielder Jake Meyers.","R","R","L","HOU","PHI","B",,,1,1,2022,"1.25","0.92","-1.59","1.82",,,,1,4,"Top",,,,,455117,,,-8.405258948689657,-137.16953374318504,-7.946100423170217,17.72165127707099,31.789323262701696,-18.929011597038937,"3.7","1.85",,,,"93.3",2305,"5.8",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.69",,,,,,,,26,3,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",148,"0","0.033"
"SI","2022-10-05","94.6","0.6","6.33","Valdez, Framber",592206,664285,,"ball",,,,,1,"Nick Castellanos flies out sharply to center fielder Jake Meyers.","R","R","L","HOU","PHI","B",,,0,1,2022,"1.45","0.6","-0.53","3.65",,,,1,4,"Top",,,,,455117,,,-6.118732505707529,-137.56298730605113,-2.5772155396355947,19.740624438272285,32.82284307383827,-24.253182635818764,"3.64","1.79",,,,"93.6",2336,"5.9",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.59",,,,,,,,26,2,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",152,"0","0.016"
"SI","2022-10-05","91.4","1.25","6.19","Valdez, Framber",592663,664285,,"called_strike",,,,,8,"J.T. Realmuto strikes out swinging.","R","R","L","HOU","PHI","S",,,3,1,2022,"1.53","0.61","0.26","1.63",,,,0,4,"Top",,,,,455117,,,-5.7413578572820265,-132.775323367837,-6.799292250073111,19.326242604069606,31.937114655259048,-23.64495554210909,"3.64","1.7",,,,"90.3",2198,"6",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.5",,,,,,,,25,5,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",142,"0","-0.076"
"SI","2022-10-05","93.2","0.93","6.24","Valdez, Framber",592663,664285,,"foul",,,,,8,"J.T. Realmuto strikes out swinging.","R","R","L","HOU","PHI","S",,,2,0,2022,"1.31","0.72","0.26","2.24",,,,0,4,"Top",,,,,455117,,,-4.557530982693879,-135.4916959660497,-5.962946330365293,17.04454796858434,34.06274175420029,-22.08043105769008,"3.62","1.71",263,"89.6",50,"91.8",2252,"5.8",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.67",,,,,,,,25,3,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",152,"0","-0.056"
"SI","2022-10-05","91","0.99","6.29","Valdez, Framber",592663,664285,,"ball",,,,,13,"J.T. Realmuto strikes out swinging.","R","R","L","HOU","PHI","B",,,0,0,2022,"1.42","0.23","-0.91","0.7",,,,0,4,"Top",,,,,455117,,,-7.705519125863911,-132.06388511433403,-8.479256283271457,18.31378994208469,28.685302066034865,-27.837165779781703,"3.76","1.79",,,,"89.8",1950,"5.8",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.74",,,,,,,,25,1,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",147,"0","0.033"
"SI","2022-10-05","96","0.58","6.31","Valdez, Framber",656555,664285,"field_out","hit_into_play",,,,,9,"Rhys Hoskins grounds out, shortstop Mauricio Dubon to first baseman Trey Mancini.","R","R","L","HOU","PHI","X",6,"ground_ball",2,2,2022,"1.33","0.57","0.48","2.08",,,,2,3,"Top",117.34,157.59,,,455117,,,-3.2039531072911083,-139.58254745732626,-6.748813107907667,17.97980418349117,35.80169534371406,-23.317517756274817,"3.6","1.71",2,"78.4",-45,"94.3",2221,"5.7",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.83",0.114,0.103,"0",1,0,0,2,18,7,"Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard",145,"0.011","-0.083"
"SI","2022-10-05","93.2","0.85","6.27","Valdez, Framber",656941,664285,,"called_strike",,,,,8,"Kyle Schwarber strikes out swinging.","R","L","L","HOU","PHI","S",,,3,1,2022,"1.06","0.67","0.16","1.72",,,,1,3,"Top",,,,,455117,,,-4.065563204325568,-135.47195427348288,-7.305516218950272,13.936602608353866,31.75280915723573,-22.497710239796135,"3.52","1.67",,,,"92.4",2136,"6",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.47",,,,,,,,17,5,"Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard",141,"0","-0.049"
"FC","2022-10-05","82.4","1.34","6.22","Valdez, Framber",656941,664285,,"ball",,,,,13,"Kyle Schwarber strikes out swinging.","R","L","L","HOU","PHI","B",,,2,1,2022,"-0.28","-0.53","-1.11","0.5",,,,1,3,"Top",,,,,455117,,,-5.00859867243045,-119.87998888391851,-5.389471709181379,-1.6517449880039705,23.971520622161126,-36.44299325962491,"3.46","1.64",,,,"81.6",2660,"5.9",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.64",,,,,,,,17,4,"Cutter",0,0,0,0,0,0,0,0,"Infield shift","Standard",321,"0","0.075"
"FC","2022-10-05","82.6","1.09","6.11","Valdez, Framber",656941,664285,,"called_strike",,,,,13,"Kyle Schwarber strikes out swinging.","R","L","L","HOU","PHI","S",,,2,0,2022,"-0.21","-0.57","-0.73","1.38",,,,1,3,"Top",,,,,455117,,,-3.689511352018137,-120.24581803958202,-3.1469734184924896,-1.3886994368903964,22.831336736973885,-37.35859469758591,"3.43","1.67",,,,"82",2585,"5.8",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.68",,,,,,,,17,3,"Cutter",0,0,0,0,0,0,0,0,"Infield shift","Standard",312,"0","-0.042"
